full_name,html_url,description,first_seen_at,last_seen_at,merged_tags_json,language,stars,forks,open_issues,updated_at,license_spdx,topics_json
exadg/exadg,https://github.com/exadg/exadg,ExaDG - High-Order Discontinuous Galerkin for the Exa-Scale,2026-02-18T15:51:34Z,2026-02-18T16:23:35Z,"{""domain"": [""cfd""], ""intent"": [""simulation""], ""method"": [""discontinuous-galerkin""]}",C++,182,51,82,2026-02-13T16:01:52Z,GPL-3.0,"[""cfd"", ""computational-fluid-dynamics"", ""computational-physics"", ""dealii"", ""discontinuous-galerkin"", ""discontinuous-galerkin-method"", ""exa-scale"", ""finite-element-methods"", ""fluid-dynamics"", ""large-eddy-simulation"", ""matrix-free"", ""multigrid"", ""navier-stokes-equations"", ""simulation"", ""turbulence""]"
MatthewBonanni/Mallard,https://github.com/MatthewBonanni/Mallard,"Unstructured, GPU accelerated, high-order finite volume CFD solver",2026-02-18T15:51:34Z,2026-02-18T16:44:18Z,"{""domain"": [""cfd""], ""intent"": [""simulation"", ""solver""], ""method"": [""finite-volume""]}",C++,5,1,15,2026-02-13T02:42:05Z,AGPL-3.0,"[""cfd"", ""compressible-flows"", ""compressible-fluid-dynamics"", ""computational-fluid-dynamics"", ""gpu"", ""gpu-computing"", ""high-performance"", ""high-performance-computing"", ""hpc"", ""kokkos"", ""kokkos-kernels"", ""simulation""]"
camUrban/PteraSoftware,https://github.com/camUrban/PteraSoftware,"Ptera Software is a fast, easy-to-use, and open-source software package for analyzing flapping-wing flight.",2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",Python,230,51,6,2026-02-15T01:33:38Z,NOASSERTION,"[""aerodynamics"", ""aeronautics"", ""aerospace"", ""aircraft-design"", ""bio-inspired-robotics"", ""cfd"", ""flapping-flight"", ""flapping-wing"", ""flight-dynamics"", ""micro-air-vehicle"", ""ornithopter"", ""panel-method"", ""potential-flow"", ""python"", ""simulation"", ""uav"", ""unsteady-flows"", ""uvlm"", ""vlm"", ""vortex-lattice-method""]"
davecats/channel,https://github.com/davecats/channel,Direct Numerical Simulation of an incompressible turbulent channel flow with two dimensional parallelization,2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",Jupyter Notebook,28,8,8,2026-02-11T08:41:00Z,GPL-3.0,"[""cfd"", ""compact"", ""differences"", ""direct"", ""dns"", ""fftw"", ""finite"", ""fortran"", ""mpi"", ""parallel"", ""simulation"", ""spectral""]"
cea-trust-platform/trust-code,https://github.com/cea-trust-platform/trust-code,"TRUST is a thermohydraulic software package for CFD simulations. It was originally designed for incompressible single-phase and Low Mach Number flows, but now also allows simulating real compressible multi-phase flows. TRUST is also being progressively ported to support GPU acceleration (NVidia/AMD). This software is OpenSource (BSD license).",2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",C++,67,22,2,2026-02-11T16:38:15Z,BSD-3-Clause,"[""cfd"", ""hpc"", ""incompressible-flow"", ""low-mach-number"", ""multiphase-flow"", ""thermohydraulic"", ""trust-platform"", ""weakly-compressible""]"
Range-Software/range-fea,https://github.com/Range-Software/range-fea,Range Software - Finite Element Analysis,2026-02-18T15:51:34Z,2026-02-19T05:10:52Z,"{""domain"": [""cfd"", ""electromagnetics"", ""heat-transfer""], ""intent"": [""cae"", ""simulation""], ""method"": [""fea"", ""finite-element""]}",C++,45,21,0,2026-02-09T09:21:00Z,GPL-3.0,"[""cad"", ""cae"", ""cfd"", ""computational-fluid-dynamics"", ""electromagnetics"", ""electrostatics"", ""engineering"", ""finite-element-analysis"", ""heat-transfer"", ""radiative-transfer"", ""simulation"", ""stress""]"
merzbild/Merzbild.jl,https://github.com/merzbild/Merzbild.jl,The Merzbild Variable-Weight DSMC/FP code,2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",Julia,10,3,0,2026-02-06T09:23:26Z,MPL-2.0,"[""cfd"", ""dsmc"", ""dsmc-simulation"", ""engineering"", ""fluid-dynamics"", ""fokker-planck-equation"", ""gas-dynamics"", ""kinetics"", ""numerical-methods"", ""particles"", ""plasma-physics"", ""rarefied-gas-dynamics"", ""simulation""]"
AMReX-Astro/Castro,https://github.com/AMReX-Astro/Castro,"Castro (Compressible Astrophysics): An adaptive mesh, astrophysical compressible (radiation-, magneto-)  hydrodynamics simulation code for massively parallel CPU and GPU architectures.",2026-02-18T15:51:34Z,2026-02-19T05:07:10Z,"{""domain"": [""astrophysics"", ""cfd""], ""intent"": [""simulation""]}",C++,325,105,119,2026-02-19T02:01:12Z,NOASSERTION,"[""adaptive-mesh-refinement"", ""amr"", ""amrex"", ""astrophysical-simulation"", ""astrophysics"", ""castro"", ""cfd"", ""gravity"", ""hydrodynamics"", ""pde"", ""radiation"", ""reactions""]"
precise-simulation/featool-multiphysics,https://github.com/precise-simulation/featool-multiphysics,"FEATool Multiphysics - ""Physics Simulation Made Easy""   (Fully Integrated FEA, FEniCS, OpenFOAM, SU2 Solver GUI & Engineering CAE Simulation Platform)",2026-02-18T15:51:34Z,2026-02-19T05:35:35Z,"{""domain"": [""cfd""], ""intent"": [""cae"", ""multiphysics"", ""simulation"", ""solver""], ""method"": [""fea"", ""fem"", ""openfoam""]}",MATLAB,423,86,1,2026-02-03T14:02:25Z,NOASSERTION,"[""cad-modeling"", ""cae"", ""cfd"", ""engineering"", ""featool-multiphysics-toolbox"", ""fem"", ""fenics"", ""finite-element-analysis"", ""geometry"", ""gmsh"", ""gui"", ""matlab"", ""multiphysics"", ""openfoam"", ""pde"", ""physics-simulation"", ""simulation"", ""solver"", ""su2"", ""toolbox""]"
precise-simulation/cfdtool,https://github.com/precise-simulation/cfdtool,CFDTool - An easy to use OpenFOAM / SU2 / CFD simulation toolbox,2026-02-18T15:51:34Z,2026-02-18T15:57:14Z,"{""domain"": [""cfd""], ""intent"": [""multiphysics"", ""simulation""]}",MATLAB,108,24,0,2026-02-03T03:05:12Z,NOASSERTION,"[""cfd"", ""cfd-simulation"", ""cfd-toolbox"", ""cfdtool-toolbox"", ""computational-fluid-dynamics"", ""fluid-flows"", ""fluid-mechanics"", ""fluid-simulation"", ""gui"", ""matlab"", ""matlab-toolbox"", ""multiphysics"", ""openfoam"", ""openfoam-tutorials"", ""simulation"", ""su2"", ""toolbox""]"
AMReX-Combustion/PeleAnalysis,https://github.com/AMReX-Combustion/PeleAnalysis,A collection of processing tools for reacting flow simulations with AMReX-based CFD tools.  See https://peleanalysis.readthedocs.io/en/latest/ for documentation,2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",C++,12,17,1,2026-02-02T17:10:30Z,NOASSERTION,"[""amrex"", ""pele""]"
WelSimLLC/welsim.github.io,https://github.com/WelSimLLC/welsim.github.io,Official website for https://welsim.com,2026-02-18T15:51:34Z,2026-02-18T15:58:49Z,"{""domain"": [""cfd""], ""intent"": [""simulation""], ""method"": [""fea""]}",HTML,11,2,0,2026-02-02T04:31:46Z,,"[""cem"", ""cfd"", ""fea"", ""simulation""]"
CaNS-World/CaNS,https://github.com/CaNS-World/CaNS,"A code for fast, massively-parallel direct numerical simulations (DNS) of canonical flows",2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",Fortran,258,85,6,2026-02-14T16:29:53Z,MIT,"[""cfd"", ""computational-fluid-dynamics"", ""fluid-dynamics"", ""fluid-simulation"", ""fortran"", ""gpu"", ""gpu-computing"", ""high-performance-computing"", ""turbulence""]"
PhasicFlow/phasicFlow,https://github.com/PhasicFlow/phasicFlow,"Parallel, highly efficient code (CPU and GPU) for DEM and CFD-DEM simulations. ",2026-02-18T15:51:34Z,2026-02-18T16:42:24Z,"{""domain"": [""cfd""], ""intent"": [""simulation""], ""hpc"": [""cuda""]}",C++,93,46,16,2026-02-06T01:55:46Z,GPL-3.0,"[""cuda"", ""dem"", ""discrete-element-method"", ""gpu-acceleration"", ""granular-flow"", ""kokkos"", ""mpi"", ""multiphase-flow"", ""openmp"", ""parallel"", ""parallel-computing""]"
MPS-Basic/MPS-Basic,https://github.com/MPS-Basic/MPS-Basic,Modernized Moving Particle Semi-implicit/Simulation method code written in C++.,2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",C++,14,3,22,2026-01-30T07:32:46Z,MIT,"[""cfd""]"
haimingz/vivsim,https://github.com/haimingz/vivsim,Accelerated vortex-induced vibration (VIV) simulation using immersed boundary lattice Boltzmann method (IB-LBM) powered by JAX.,2026-02-18T15:51:34Z,2026-02-18T16:30:44Z,"{""domain"": [""cfd""], ""intent"": [""simulation""], ""method"": [""lattice-boltzmann"", ""lbm""]}",Python,32,8,0,2026-02-15T18:56:39Z,MIT,"[""cfd"", ""jax"", ""lbm""]"
unicfdlab/hybridCentralSolvers,https://github.com/unicfdlab/hybridCentralSolvers,"United collection of hybrid  Central solvers - one-phase, two-phase and multicomponent versions",2026-02-18T15:51:34Z,2026-02-19T05:35:35Z,"{""domain"": [""cfd"", ""gas""], ""intent"": [""simulation"", ""solver""], ""method"": [""openfoam""]}",C++,125,65,10,2026-02-17T18:20:54Z,GPL-3.0,"[""all-mach-number-flows"", ""central-upwind-schemes"", ""cfd"", ""compressible-flows"", ""computational-fluid-dynamics"", ""flow-solver"", ""fluid-dynamics"", ""fluid-dynamics-simulator"", ""gas"", ""gas-dynamics"", ""high-speed-flows"", ""hpc"", ""hybrid-central-solvers"", ""moving-meshes"", ""numerical-modelling"", ""openfoam"", ""openfoam-library"", ""openfoam-solver"", ""simulation""]"
AhmedSalih3d/SPHExample,https://github.com/AhmedSalih3d/SPHExample,Simple SPH dam-break simulation in Julia,2026-02-18T15:51:34Z,2026-02-18T16:31:22Z,"{""domain"": [""cfd""], ""intent"": [""simulation""], ""method"": [""sph""]}",Julia,51,11,60,2026-01-20T05:52:33Z,MIT,"[""cfd"", ""julia"", ""simulation"", ""smoothed-particle-hydrodynamics"", ""sph""]"
Ganeshkumar-V/RocPerf,https://github.com/Ganeshkumar-V/RocPerf,An OpenFOAM-based software tool for Internal Ballistic simulations of solid rocket motors.,2026-02-18T15:51:34Z,2026-02-18T15:57:37Z,"{""domain"": [""cfd"", ""multiphase""], ""intent"": [""simulation""]}",C++,4,1,0,2026-02-05T16:29:22Z,GPL-3.0,"[""cfd"", ""multiphase"", ""propulsion"", ""rocket""]"
uDALES/u-dales,https://github.com/uDALES/u-dales,"uDALES: large-eddy-simulation software for urban flow, dispersion and microclimate modelling",2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",Fortran,76,26,41,2026-02-01T20:30:08Z,GPL-3.0,"[""cfd"", ""computational-fluid-dynamics"", ""large-eddy-simulation"", ""urban-climate""]"
EvertBunschoten/SU2_DataMiner,https://github.com/EvertBunschoten/SU2_DataMiner,Workflow for setting up fluid data manifolds for data-driven simulations in SU2,2026-02-18T15:51:34Z,2026-02-19T05:03:37Z,"{""domain"": [""cfd"", ""fluid""], ""intent"": [""simulation""]}",Python,4,3,0,2026-01-15T15:09:15Z,NOASSERTION,"[""cfd"", ""machine-learning"", ""su2""]"
AUfluids/kOmegaSSTPDA,https://github.com/AUfluids/kOmegaSSTPDA,Progressive data-augmented k-omega SST model for OpenFOAM,2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",C++,10,4,2,2026-01-15T14:07:17Z,,"[""cfd"", ""fluid-mechanics"", ""simulation"", ""turbulence-modelling""]"
snek5000/snek5000,https://github.com/snek5000/snek5000,:snake: Python framework for Nek5000 :rocket:,2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",Python,30,10,16,2026-01-13T14:40:49Z,BSD-3-Clause,"[""cfd"", ""closember"", ""fluiddyn"", ""fluidsim"", ""jinja2"", ""nek5000"", ""python"", ""simulation"", ""snakemake"", ""snek5000"", ""workflow""]"
Tes-bo/UNet-CFD-FrameWork-cavity,https://github.com/Tes-bo/UNet-CFD-FrameWork-cavity,This project trains a U-Net neural network to learn the mapping from boundary conditions (lid velocity and Reynolds number) to flow fields (pressure and velocity). The training data is generated automatically using OpenFOAM CFD simulations.,2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",C++,9,1,0,2026-02-04T02:39:52Z,GPL-3.0,"[""cnn"", ""computational-fluid-dynamics"", ""deep-learning"", ""openfoam"", ""u-net""]"
WelSimLLC/WelSim-Apps,https://github.com/WelSimLLC/WelSim-Apps,WELSIM is the #1 engineering simulation software for the open-source community.,2026-02-18T15:51:34Z,2026-02-19T05:03:43Z,"{""domain"": [""cfd""], ""intent"": [""cae"", ""simulation""], ""method"": [""fea""]}",C++,40,3,50,2026-02-03T03:36:58Z,,"[""beamsection"", ""cae"", ""cem"", ""cfd"", ""computation"", ""curvefitter"", ""fea"", ""mateditor"", ""simulation"", ""unitconverter"", ""welsim""]"
eric2003/OneFLOW,https://github.com/eric2003/OneFLOW,LargeScale Multiphysics Scientific Simulation Environment-OneFLOW CFD,2026-02-18T15:51:34Z,2026-02-19T05:03:37Z,"{""domain"": [""cfd"", ""fluid"", ""navier-stokes"", ""turbulence""], ""intent"": [""multiphysics"", ""simulation""], ""hpc"": [""cuda"", ""mpi""]}",C++,276,84,1,2026-02-08T07:02:53Z,GPL-3.0,"[""c-plus-plus"", ""cfd"", ""cgns"", ""cuda"", ""fluid"", ""fluid-dynamics"", ""gpu"", ""hdf5"", ""mpi"", ""multiphysics"", ""navier-stokes"", ""openacc"", ""parallel"", ""simulation"", ""turbulence""]"
peterdsharpe/AeroSandbox,https://github.com/peterdsharpe/AeroSandbox,"Aircraft design optimization made fast through computational graph transformations (e.g., automatic differentiation). Composable analysis tools for aerodynamics, propulsion, structures, trajectory design, and much more.",2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",Jupyter Notebook,1119,174,8,2026-02-18T11:26:42Z,MIT,"[""3d-panel"", ""aerodynamic-analysis"", ""aerodynamics"", ""aerospace"", ""aerospace-engineering"", ""aircraft"", ""aircraft-design"", ""airplane"", ""analysis"", ""automatic-differentiation"", ""cfd"", ""mdao"", ""mdo"", ""optimization"", ""python"", ""simulation"", ""vlm"", ""xfoil""]"
tudelft3d/City4CFD,https://github.com/tudelft3d/City4CFD,Reconstruction of LoD2 3D city models for urban flow simulations,2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",C++,161,26,3,2026-02-10T00:10:27Z,AGPL-3.0,"[""3d-city-models"", ""3d-modelling"", ""cfd"", ""computational-fluid-dynamics"", ""geometry"", ""gis"", ""spatial"", ""urban-reconstruction""]"
RWTH-E3D/carbonfly,https://github.com/RWTH-E3D/carbonfly,An easy-to-use Python library and Grasshopper toolbox for indoor CO2 CFD simulation,2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",Python,19,2,1,2026-02-14T19:33:40Z,LGPL-3.0,"[""cfd"", ""co2"", ""grasshopper"", ""grasshopper-plugin"", ""iaq"", ""ieq"", ""indoor-air-quality"", ""openfoam"", ""rhino3d"", ""rhinoceros"", ""ventilation"", ""wsl"", ""wsl-ubuntu""]"
Exawind/nalu-wind,https://github.com/Exawind/nalu-wind,Solver for wind farm simulations targeting exascale computational platforms,2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",C,150,93,31,2026-01-22T18:46:27Z,NOASSERTION,"[""cfd"", ""ecp"", ""exascale-computing"", ""exawind"", ""les"", ""low-mach"", ""wind-energy""]"
Mohamedelrefaie/DrivAerNet,https://github.com/Mohamedelrefaie/DrivAerNet,A Large-Scale Multimodal Car Dataset with Computational Fluid Dynamics Simulations and Deep Learning Benchmarks,2026-02-18T15:51:34Z,2026-02-19T05:03:37Z,"{""domain"": [""cfd"", ""fluid""], ""intent"": [""benchmark"", ""simulation""]}",Python,471,71,5,2026-02-18T14:39:31Z,NOASSERTION,"[""3d-geometry"", ""aerodynamics"", ""car-design"", ""cfd"", ""computational-fluid-dynamics"", ""data-driven"", ""deep-learning"", ""deep-neural-networks"", ""dgcnn"", ""drivaer"", ""fluid-dynamics"", ""fluid-simulation"", ""generative-ai"", ""graph-neural-networks"", ""large-scale-dataset"", ""meshes"", ""openfoam"", ""parametric-design"", ""surrogate-modelling"", ""surrogate-models""]"
vavrines/Kinetic.jl,https://github.com/vavrines/Kinetic.jl,"Universal modeling and simulation of fluid mechanics upon machine learning. From the Boltzmann equation, heading towards multiscale and multiphysics flows.",2026-02-18T15:51:34Z,2026-02-19T05:03:37Z,"{""domain"": [""cfd"", ""fluid""], ""intent"": [""multiphysics"", ""simulation""], ""method"": [""finite-volume""]}",Julia,144,19,0,2026-01-23T16:42:07Z,MIT,"[""boltzmann-equation"", ""cfd"", ""deep-learning"", ""differential-equations"", ""finite-element-methods"", ""finite-volume"", ""fluid-dynamics"", ""julia"", ""kinetic-theory"", ""numerical-pdes"", ""pde"", ""plasma"", ""rarefied-gas-dynamics"", ""scientific-machine-learning"", ""sciml""]"
p-costa/SNaC,https://github.com/p-costa/SNaC,A multi-block solver for massively parallel direct numerical simulations (DNS) of fluid flows,2026-02-18T15:51:34Z,2026-02-19T05:03:37Z,"{""domain"": [""cfd"", ""fluid"", ""turbulence""], ""intent"": [""simulation"", ""solver""]}",Fortran,43,11,13,2025-12-05T14:13:35Z,MIT,"[""cfd"", ""computational-fluid-dynamics"", ""fluid-dynamics"", ""fluid-simulation"", ""fortran"", ""high-performance-computing"", ""turbulence""]"
byuflowlab/FLOWVPM.jl,https://github.com/byuflowlab/FLOWVPM.jl,Meshless large eddy simulation through the reformulated vortex particle method,2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",Julia,99,19,15,2026-02-12T01:48:11Z,MIT,"[""cfd"", ""les"", ""pde"", ""vortex""]"
fradevita/FEN,https://github.com/fradevita/FEN,Fortran Environment for Numerics,2026-02-18T15:51:34Z,2026-02-18T16:34:54Z,"{""domain"": [""cfd"", ""navier-stokes""], ""intent"": [""simulation""]}",Fortran,8,3,0,2026-01-14T14:54:21Z,,"[""cfd"", ""finite-difference-method"", ""fluid-dynamics"", ""fortran"", ""mpi"", ""navier-stokes"", ""poisson-equation"", ""simulation""]"
markstock/vic2d,https://github.com/markstock/vic2d,Two-dimensional semi-Lagrangian vortex method for very low viscosity fluid simulation,2026-02-18T15:51:34Z,2026-02-19T05:03:37Z,"{""domain"": [""cfd"", ""fluid""], ""intent"": [""simulation"", ""simulator""]}",C,32,4,0,2026-01-01T08:12:04Z,GPL-3.0,"[""cfd"", ""fluid-dynamics"", ""fluid-solver"", ""simulator"", ""vorticity""]"
josephHelfenbein/GustGrid,https://github.com/josephHelfenbein/GustGrid,A CUDA-powered C++/OpenGL tool for real-time PC airflow and thermal simulation,2026-02-18T15:51:34Z,2026-02-19T05:05:15Z,"{""domain"": [""cfd"", ""thermal""], ""intent"": [""simulation""], ""hpc"": [""cuda""]}",C++,21,1,0,2025-12-04T10:14:03Z,Apache-2.0,"[""cfd"", ""cpp"", ""cuda"", ""graphics-programming"", ""opengl"", ""real-time"", ""simulation""]"
josephHelfenbein/gustgrid-vulkan,https://github.com/josephHelfenbein/gustgrid-vulkan,"A C++/Vulkan port of GustGrid, a tool for real-time PC airflow and thermal simulation",2026-02-18T15:51:34Z,2026-02-19T05:05:15Z,"{""domain"": [""cfd"", ""thermal""], ""intent"": [""simulation""]}",C++,31,1,0,2026-02-01T15:28:58Z,Apache-2.0,"[""cfd"", ""cpp"", ""graphics-programming"", ""real-time"", ""simulation"", ""vulkan""]"
Eddy3D-Dev/Eddy3D-CaseStudies,https://github.com/Eddy3D-Dev/Eddy3D-CaseStudies,Case studies for Eddy3D,2026-02-18T15:51:34Z,2026-02-18T15:51:34Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",,3,1,0,2025-10-11T19:13:49Z,MIT,"[""case"", ""cfd"", ""eddy3d"", ""simulation"", ""study"", ""wind""]"
mohamedayoub97/Lattice-Boltzmann-Simulation-LBS,https://github.com/mohamedayoub97/Lattice-Boltzmann-Simulation-LBS,Advanced LBM simulation of Kármán vortex street with multi-perspective visualization and real-time fluid dynamics analysis,2026-02-18T15:51:34Z,2026-02-19T05:03:37Z,"{""domain"": [""cfd"", ""fluid""], ""intent"": [""simulation""], ""method"": [""lattice-boltzmann"", ""lbm""]}",Python,2,1,0,2025-10-11T19:12:37Z,MIT,"[""cfd"", ""fluid-dynamics"", ""lattice-boltzmann-method"", ""numerical-simulations"", ""python3""]"
cselab/aphros,https://github.com/cselab/aphros,Finite volume solver for incompressible multiphase flows with surface tension. Foaming flows in complex geometries.,2026-02-18T15:51:38Z,2026-02-19T05:09:47Z,"{""domain"": [""cfd"", ""fluid"", ""multiphase""], ""intent"": [""simulation"", ""solver""], ""method"": [""finite-volume""]}",C++,447,51,14,2026-02-12T12:21:14Z,MIT,"[""cfd"", ""chemical-engineering"", ""fluid"", ""high-performance-computing"", ""multiphase-flow"", ""paraview"", ""simulation"", ""surface-tension""]"
CMSL-HKUST/jax-am,https://github.com/CMSL-HKUST/jax-am,Additive manufacturing simulation with JAX.,2026-02-18T15:51:38Z,2026-02-18T15:51:38Z,"{""domain"": [""cfd""], ""intent"": [""simulation""]}",Jupyter Notebook,340,63,14,2026-02-08T02:41:45Z,GPL-3.0,"[""additive-manufacturing"", ""cfd"", ""crystal-plasticity"", ""finite-element-method"", ""jax"", ""phase-field-method"", ""simulation""]"
